win,lose,probability
Cleveland Cavaliers,Houston Rockets,0.7585009231473729
Detroit Pistons,New York Knicks,0.6754042382754696
Indiana Pacers,Los Angeles Lakers,0.8782701862457534
Miami Heat,Sacramento Kings,0.7088151549068675
Memphis Grizzlies,Minnesota Timberwolves,0.6405737759884864
Milwaukee Bucks,New Orleans Pelicans,0.5502563686942774
Orlando Magic,Philadelphia 76ers,0.9101114111389815
Golden State Warriors,Portland Trail Blazers,0.8081784292634457
San Antonio Spurs,Utah Jazz,0.82622071185172
Atlanta Hawks,Los Angeles Lakers,0.8947351640986871
Boston Celtics,Chicago Bulls,0.6034874302027773
Detroit Pistons,Brooklyn Nets,0.8419458448949686
Charlotte Hornets,Philadelphia 76ers,0.9269889138633934
Oklahoma City Thunder,Los Angeles Clippers,0.5798305594935756
Memphis Grizzlies,New Orleans Pelicans,0.6261264640776563
Houston Rockets,New York Knicks,0.666369558180308
Portland Trail Blazers,Phoenix Suns,0.8773484735354886
Dallas Mavericks,Utah Jazz,0.5162865136997878
Toronto Raptors,Washington Wizards,0.7293394039612844
Cleveland Cavaliers,Boston Celtics,0.6355910236405313
Golden State Warriors,Oklahoma City Thunder,0.6938031694003791
Indiana Pacers,Milwaukee Bucks,0.7142688649233901
Denver Nuggets,Minnesota Timberwolves,0.5414163375283709
Orlando Magic,Sacramento Kings,0.5034868415983743
Charlotte Hornets,Brooklyn Nets,0.8855774573297537
Chicago Bulls,New York Knicks,0.6389777167829812
Portland Trail Blazers,Dallas Mavericks,0.6841205033120039
Golden State Warriors,Los Angeles Lakers,0.9808945758191395
Los Angeles Clippers,Memphis Grizzlies,0.7119225632950659
New Orleans Pelicans,Phoenix Suns,0.5945304369019238
Toronto Raptors,Miami Heat,0.6045007573553133
San Antonio Spurs,Utah Jazz,0.8487796546380066
Atlanta Hawks,Washington Wizards,0.6593364046223538
Atlanta Hawks,Houston Rockets,0.6091551015383058
Detroit Pistons,Denver Nuggets,0.664917105981715
Indiana Pacers,Chicago Bulls,0.5323693782771803
Sacramento Kings,Milwaukee Bucks,0.5436116039188047
Oklahoma City Thunder,Minnesota Timberwolves,0.8793249349798907
Washington Wizards,Orlando Magic,0.6272101864071549
Cleveland Cavaliers,Philadelphia 76ers,0.9768777694923292
San Antonio Spurs,Los Angeles Clippers,0.6948636244427145
Boston Celtics,Denver Nuggets,0.7404570414679568
Dallas Mavericks,Milwaukee Bucks,0.6153833144728393
Phoenix Suns,Los Angeles Lakers,0.6950656722677325
Portland Trail Blazers,Memphis Grizzlies,0.6753434008494902
Utah Jazz,New York Knicks,0.6860508475279985
Toronto Raptors,Sacramento Kings,0.7964648703537757
Chicago Bulls,Orlando Magic,0.5724900985973451
Charlotte Hornets,Indiana Pacers,0.5130418214057836
Golden State Warriors,New Orleans Pelicans,0.9206776373148312
Los Angeles Clippers,Detroit Pistons,0.624357974538821
Oklahoma City Thunder,Miami Heat,0.6740298779596489
Utah Jazz,Philadelphia 76ers,0.9341072817696251
Houston Rockets,Washington Wizards,0.5081150680206921
Minnesota Timberwolves,Brooklyn Nets,0.67751952121502
Cleveland Cavaliers,Atlanta Hawks,0.6263531086905882
Dallas Mavericks,Los Angeles Lakers,0.8907603705913585
Memphis Grizzlies,Denver Nuggets,0.5985464228824947
Portland Trail Blazers,Phoenix Suns,0.8424226718707636
Sacramento Kings,New Orleans Pelicans,0.5364185883610748
Atlanta Hawks,Chicago Bulls,0.572866690503364
Charlotte Hornets,Utah Jazz,0.5748867027833809
Golden State Warriors,Dallas Mavericks,0.8527185619394961
Indiana Pacers,Philadelphia 76ers,0.9190468807820176
Los Angeles Clippers,Portland Trail Blazers,0.5158606198931978
New York Knicks,Brooklyn Nets,0.6471968000561709
Oklahoma City Thunder,Toronto Raptors,0.575903635806839
Orlando Magic,Minnesota Timberwolves,0.5825965099809904
Detroit Pistons,Phoenix Suns,0.8209700568368207
San Antonio Spurs,Houston Rockets,0.8387539755133259
Boston Celtics,Washington Wizards,0.6503693167513145
Golden State Warriors,Denver Nuggets,0.9162874372737474
Miami Heat,Chicago Bulls,0.583622554951526
Milwaukee Bucks,New Orleans Pelicans,0.5044212480389444
Sacramento Kings,Los Angeles Lakers,0.7769315822007784
Boston Celtics,New York Knicks,0.7494707738581704
Toronto Raptors,Charlotte Hornets,0.6380898127950527
Oklahoma City Thunder,Los Angeles Clippers,0.6079637057720093
Utah Jazz,Orlando Magic,0.6172120815144194
Indiana Pacers,Philadelphia 76ers,0.9479057995348941
Portland Trail Blazers,Sacramento Kings,0.7119089093096973
San Antonio Spurs,Detroit Pistons,0.8084340236443053
Cleveland Cavaliers,Washington Wizards,0.7710724936020816
Atlanta Hawks,Philadelphia 76ers,0.930433335849687
Washington Wizards,Chicago Bulls,0.5217574265342215
Detroit Pistons,Denver Nuggets,0.6594712589154001
San Antonio Spurs,Houston Rockets,0.8491813004144488
Boston Celtics,Indiana Pacers,0.5764789860056263
Miami Heat,Utah Jazz,0.598196785216941
Memphis Grizzlies,Milwaukee Bucks,0.6248877420922611
Los Angeles Clippers,Minnesota Timberwolves,0.8130874513944673
New Orleans Pelicans,Los Angeles Lakers,0.7120889076539259
Brooklyn Nets,Phoenix Suns,0.5038158558554533
Toronto Raptors,New York Knicks,0.8157996029906716
Cleveland Cavaliers,Charlotte Hornets,0.6368678104245823
Golden State Warriors,Phoenix Suns,0.9539421975193444
Minnesota Timberwolves,Los Angeles Lakers,0.7411813576753268
Oklahoma City Thunder,Orlando Magic,0.8192755849654263
Portland Trail Blazers,Denver Nuggets,0.727311938872785
Oklahoma City Thunder,Detroit Pistons,0.6968035726244128
Houston Rockets,Philadelphia 76ers,0.8986634473675937
Indiana Pacers,Orlando Magic,0.6286713755358447
Los Angeles Clippers,Brooklyn Nets,0.8824415706254937
Boston Celtics,New Orleans Pelicans,0.7988199077221836
Dallas Mavericks,New York Knicks,0.6884688732252942
San Antonio Spurs,Miami Heat,0.7522530191606118
Utah Jazz,Memphis Grizzlies,0.5255538088993825
Cleveland Cavaliers,Toronto Raptors,0.5462840934701509
Brooklyn Nets,Los Angeles Lakers,0.6679262469440597
Atlanta Hawks,Miami Heat,0.5349448744168068
Charlotte Hornets,Minnesota Timberwolves,0.7732670660997925
Portland Trail Blazers,Chicago Bulls,0.5872719348963772
Atlanta Hawks,Milwaukee Bucks,0.737456576558824
Boston Celtics,Dallas Mavericks,0.6151618039644686
Denver Nuggets,Phoenix Suns,0.6729684396329744
Cleveland Cavaliers,Indiana Pacers,0.7113705524704372
Los Angeles Clippers,Memphis Grizzlies,0.6864381936881006
Detroit Pistons,New York Knicks,0.7111405430537361
Oklahoma City Thunder,Houston Rockets,0.7798495941097454
Orlando Magic,New Orleans Pelicans,0.5514482355216848
Washington Wizards,Philadelphia 76ers,0.9366775229995057
San Antonio Spurs,Sacramento Kings,0.9010962856386668
Golden State Warriors,Toronto Raptors,0.7268196326012444
Portland Trail Blazers,Houston Rockets,0.6504196223877439
Miami Heat,Milwaukee Bucks,0.745906157063722
Minnesota Timberwolves,Philadelphia 76ers,0.8183835907399796
Chicago Bulls,Utah Jazz,0.5285224990401212
Washington Wizards,New York Knicks,0.6208378302573087
Golden State Warriors,Boston Celtics,0.7975253307927372
Atlanta Hawks,Charlotte Hornets,0.5587641193760706
Cleveland Cavaliers,Detroit Pistons,0.7181612520425731
Memphis Grizzlies,Dallas Mavericks,0.5131762853395947
Toronto Raptors,Denver Nuggets,0.8038652898398755
Indiana Pacers,Phoenix Suns,0.8105096858848753
San Antonio Spurs,Los Angeles Lakers,0.977210986732021
Portland Trail Blazers,New Orleans Pelicans,0.8091471362584426
Oklahoma City Thunder,Brooklyn Nets,0.9284646526287742
Los Angeles Clippers,Sacramento Kings,0.7815021632477663
Boston Celtics,Detroit Pistons,0.5941234537533615
Utah Jazz,Houston Rockets,0.5142590387677144
Los Angeles Clippers,Chicago Bulls,0.6380709617571735
Memphis Grizzlies,Minnesota Timberwolves,0.6553302027939814
Golden State Warriors,Milwaukee Bucks,0.9253789939582465
Charlotte Hornets,New Orleans Pelicans,0.7979318796496917
Dallas Mavericks,Orlando Magic,0.6198665262850903
Phoenix Suns,Philadelphia 76ers,0.8003034258257029
Miami Heat,Washington Wizards,0.6389441764692663
Portland Trail Blazers,Brooklyn Nets,0.8925830379555609
Utah Jazz,Denver Nuggets,0.6322147101265605
Chicago Bulls,Los Angeles Lakers,0.8954420858096462
Atlanta Hawks,New York Knicks,0.7891294241589933
Oklahoma City Thunder,Indiana Pacers,0.7161089397523859
Toronto Raptors,Sacramento Kings,0.8033275560754527
Charlotte Hornets,Memphis Grizzlies,0.6125492509329078
Detroit Pistons,Houston Rockets,0.5516060114668541
Golden State Warriors,Indiana Pacers,0.8404067250866276
Toronto Raptors,Los Angeles Clippers,0.56010886077604
Orlando Magic,Milwaukee Bucks,0.5817600310492119
Boston Celtics,Minnesota Timberwolves,0.7742328193946117
Miami Heat,Philadelphia 76ers,0.9568916941184369
San Antonio Spurs,Dallas Mavericks,0.8245994833389653
Washington Wizards,Phoenix Suns,0.7578628556312805
Atlanta Hawks,New Orleans Pelicans,0.738484657741637
Chicago Bulls,Denver Nuggets,0.6461194060642658
Oklahoma City Thunder,Los Angeles Lakers,0.954202902776125
Portland Trail Blazers,New York Knicks,0.7934016958748544
Boston Celtics,Brooklyn Nets,0.8861352741848582
San Antonio Spurs,Charlotte Hornets,0.7972711345083249
Cleveland Cavaliers,Portland Trail Blazers,0.6202796956863295
Los Angeles Clippers,Dallas Mavericks,0.7201205798934778
Miami Heat,Detroit Pistons,0.5820415047830511
Golden State Warriors,Los Angeles Lakers,0.9721731039832511
Toronto Raptors,Houston Rockets,0.7162532842055214
Atlanta Hawks,Indiana Pacers,0.5861352161994875
Minnesota Timberwolves,New Orleans Pelicans,0.5173610946393474
Orlando Magic,Phoenix Suns,0.6868943681591403
Memphis Grizzlies,Philadelphia 76ers,0.9238144914474944
Oklahoma City Thunder,Sacramento Kings,0.8157323398915056
Utah Jazz,Denver Nuggets,0.625770378040394
San Antonio Spurs,Boston Celtics,0.7668895013744407
Cleveland Cavaliers,Dallas Mavericks,0.739489710108278
Oklahoma City Thunder,Denver Nuggets,0.8162439152219991
Los Angeles Clippers,Detroit Pistons,0.6499609523373471
Indiana Pacers,Brooklyn Nets,0.8289798714080696
Golden State Warriors,Los Angeles Lakers,0.9808945758191395
Miami Heat,Memphis Grizzlies,0.6495431943239243
Toronto Raptors,Milwaukee Bucks,0.8228052690881906
Charlotte Hornets,New York Knicks,0.7815110190597755
Washington Wizards,Orlando Magic,0.6272101864071549
Chicago Bulls,Philadelphia 76ers,0.9377227640615922
Minnesota Timberwolves,Phoenix Suns,0.6439503319555765
Portland Trail Blazers,New Orleans Pelicans,0.7497443972882697
Houston Rockets,Sacramento Kings,0.6102617181610048
Atlanta Hawks,Utah Jazz,0.6437973157922972
Charlotte Hornets,New York Knicks,0.7144909312834938
Golden State Warriors,Minnesota Timberwolves,0.9294654836217119
Miami Heat,Memphis Grizzlies,0.6351049907007417
Oklahoma City Thunder,Detroit Pistons,0.7418623547804829
San Antonio Spurs,Washington Wizards,0.8573578046589807
Sacramento Kings,Brooklyn Nets,0.74305149768746
Dallas Mavericks,New Orleans Pelicans,0.6166409223609247
Los Angeles Clippers,Indiana Pacers,0.6332454400941061
Atlanta Hawks,Los Angeles Lakers,0.9324688313044043
Orlando Magic,Milwaukee Bucks,0.5501327869220168
Cleveland Cavaliers,Philadelphia 76ers,0.9768777694923292
Denver Nuggets,Phoenix Suns,0.697557034066118
Portland Trail Blazers,Houston Rockets,0.6231416044142973
Golden State Warriors,Atlanta Hawks,0.7737081713543428
Charlotte Hornets,Memphis Grizzlies,0.659573386945392
Boston Celtics,Miami Heat,0.525062058004137
Utah Jazz,Minnesota Timberwolves,0.6756996766427285
Oklahoma City Thunder,New York Knicks,0.849552420428057
Toronto Raptors,Philadelphia 76ers,0.9573923006023913
Washington Wizards,Sacramento Kings,0.5912912361663516
Los Angeles Clippers,Brooklyn Nets,0.9080193928303595
Charlotte Hornets,Detroit Pistons,0.5455256027444972
Cleveland Cavaliers,Milwaukee Bucks,0.8530309350208
New Orleans Pelicans,Los Angeles Lakers,0.7120889076539259
San Antonio Spurs,Orlando Magic,0.8693976317951547
Utah Jazz,Houston Rockets,0.5089968411797464
Boston Celtics,Detroit Pistons,0.5893075059322865
Chicago Bulls,Los Angeles Lakers,0.8508961575958586
San Antonio Spurs,Dallas Mavericks,0.8676206965605981
Miami Heat,Denver Nuggets,0.7291157552649977
New York Knicks,Minnesota Timberwolves,0.5296151589720135
Oklahoma City Thunder,Washington Wizards,0.7562713130593905
Atlanta Hawks,Phoenix Suns,0.8745376386195904
Portland Trail Blazers,Indiana Pacers,0.5407484039522641
Toronto Raptors,Memphis Grizzlies,0.7367003625895576
Milwaukee Bucks,Brooklyn Nets,0.705708198425613
Charlotte Hornets,Dallas Mavericks,0.5721349694575075
Cleveland Cavaliers,Los Angeles Clippers,0.5789462227125367
Golden State Warriors,Houston Rockets,0.8649754617447735
Memphis Grizzlies,Orlando Magic,0.5418882444866199
Miami Heat,Utah Jazz,0.6230067652338783
Atlanta Hawks,Detroit Pistons,0.5583930291152472
Boston Celtics,Sacramento Kings,0.7255163043484103
Cleveland Cavaliers,Chicago Bulls,0.7570462056692597
Houston Rockets,Denver Nuggets,0.6110717569083912
Los Angeles Clippers,New Orleans Pelicans,0.8343484337264653
New York Knicks,Minnesota Timberwolves,0.5073625643503608
Orlando Magic,Philadelphia 76ers,0.9101114111389815
San Antonio Spurs,Washington Wizards,0.8200284945160791
Toronto Raptors,Los Angeles Lakers,0.9345550784261674
Charlotte Hornets,Minnesota Timberwolves,0.7526861870461694
Chicago Bulls,Dallas Mavericks,0.5669052633375353
Golden State Warriors,Phoenix Suns,0.9539421975193444
Memphis Grizzlies,Los Angeles Lakers,0.8344605234905883
Milwaukee Bucks,Brooklyn Nets,0.6730232285495656
Boston Celtics,Philadelphia 76ers,0.9589029287755143
Miami Heat,Portland Trail Blazers,0.5088533510356914
Toronto Raptors,Atlanta Hawks,0.5829025526531049
Utah Jazz,Denver Nuggets,0.625770378040394
Detroit Pistons,Orlando Magic,0.61154682161356
Los Angeles Clippers,Indiana Pacers,0.5933081687055823
Sacramento Kings,New York Knicks,0.5720062975407473
Oklahoma City Thunder,New Orleans Pelicans,0.8651961349802163
Oklahoma City Thunder,Atlanta Hawks,0.6446312181511704
Washington Wizards,Brooklyn Nets,0.8314731905516355
Portland Trail Blazers,Chicago Bulls,0.6475716110548284
Charlotte Hornets,Dallas Mavericks,0.6685675997025161
Golden State Warriors,Indiana Pacers,0.8201989906653997
Boston Celtics,Houston Rockets,0.635373913501114
Utah Jazz,Los Angeles Lakers,0.889660838642419
San Antonio Spurs,Milwaukee Bucks,0.9119525959833453
Memphis Grizzlies,New Orleans Pelicans,0.6735800410284913
Denver Nuggets,Philadelphia 76ers,0.8892920912390344
Cleveland Cavaliers,Toronto Raptors,0.5546158265608468
Detroit Pistons,Chicago Bulls,0.5142352811609947
Memphis Grizzlies,Philadelphia 76ers,0.8880417113566785
Miami Heat,New York Knicks,0.7336921513767647
San Antonio Spurs,Minnesota Timberwolves,0.917224590901834
Utah Jazz,Phoenix Suns,0.7702020669534968
Washington Wizards,Orlando Magic,0.5533447040569278
Miami Heat,Atlanta Hawks,0.5236222185576433
Denver Nuggets,Brooklyn Nets,0.7282052904904113
Charlotte Hornets,Detroit Pistons,0.5455256027444972
Dallas Mavericks,Sacramento Kings,0.5702174761018722
Houston Rockets,Los Angeles Lakers,0.8493030013930819
Golden State Warriors,Los Angeles Clippers,0.7727517724770503
Portland Trail Blazers,Milwaukee Bucks,0.7738890333125161
Cleveland Cavaliers,New York Knicks,0.8668886307536874
Boston Celtics,Orlando Magic,0.7263180284008441
Indiana Pacers,Phoenix Suns,0.8393449979808321
San Antonio Spurs,Chicago Bulls,0.8475731035059068
Portland Trail Blazers,Memphis Grizzlies,0.6753434008494902
New Orleans Pelicans,Philadelphia 76ers,0.7955755982908748
Toronto Raptors,Minnesota Timberwolves,0.8434121181621725
Golden State Warriors,Utah Jazz,0.870471070021106
Washington Wizards,Denver Nuggets,0.6096067593439661
Toronto Raptors,Boston Celtics,0.5959426804583692
Charlotte Hornets,Orlando Magic,0.6543882068978297
Cleveland Cavaliers,Miami Heat,0.6470636597602021
Indiana Pacers,Dallas Mavericks,0.6126769817347751
Phoenix Suns,Los Angeles Lakers,0.6950656722677325
Atlanta Hawks,Milwaukee Bucks,0.7693305696948275
Detroit Pistons,Minnesota Timberwolves,0.7012563807396288
Oklahoma City Thunder,Houston Rockets,0.7798495941097454
Sacramento Kings,New York Knicks,0.5192795754371453
Miami Heat,Chicago Bulls,0.6208036047869293
Cleveland Cavaliers,Charlotte Hornets,0.6368678104245823
Dallas Mavericks,Houston Rockets,0.5170688060636666
Portland Trail Blazers,Indiana Pacers,0.5923958782177762
Los Angeles Clippers,New Orleans Pelicans,0.7877727187686658
Golden State Warriors,Memphis Grizzlies,0.882863637585801
Orlando Magic,Denver Nuggets,0.5225599961041578
San Antonio Spurs,Brooklyn Nets,0.9501469341576307
Utah Jazz,Sacramento Kings,0.6077252067907171
Washington Wizards,Milwaukee Bucks,0.6356574863588191
Detroit Pistons,Philadelphia 76ers,0.9134704129956458
New York Knicks,Los Angeles Lakers,0.8133311506916079
Golden State Warriors,Minnesota Timberwolves,0.9299088480917221
Oklahoma City Thunder,Boston Celtics,0.6629772511139628
New Orleans Pelicans,Phoenix Suns,0.6724900715949489
Dallas Mavericks,Denver Nuggets,0.588820665175941
Houston Rockets,Brooklyn Nets,0.7910736227793856
Charlotte Hornets,Indiana Pacers,0.5751315194080407
Los Angeles Clippers,Portland Trail Blazers,0.5158606198931978
Miami Heat,Washington Wizards,0.5879317706549335
Sacramento Kings,Los Angeles Lakers,0.7769315822007784
Toronto Raptors,Milwaukee Bucks,0.8251452837828896
Atlanta Hawks,Orlando Magic,0.666060180740695
Chicago Bulls,Minnesota Timberwolves,0.682790090862788
Cleveland Cavaliers,Memphis Grizzlies,0.7704389634641643
Golden State Warriors,New Orleans Pelicans,0.9388804690027053
New York Knicks,Phoenix Suns,0.6874544193110919
Oklahoma City Thunder,Portland Trail Blazers,0.6309699502322903
Brooklyn Nets,Los Angeles Lakers,0.5578960435138229
Detroit Pistons,Dallas Mavericks,0.581309125730574
Houston Rockets,Sacramento Kings,0.6069781450285786
Cleveland Cavaliers,Memphis Grizzlies,0.7791335716933379
Miami Heat,Indiana Pacers,0.5370119670708178
Los Angeles Clippers,Orlando Magic,0.7709795789568727
Toronto Raptors,Philadelphia 76ers,0.9712644456236569
San Antonio Spurs,Boston Celtics,0.7428407748581941
Oklahoma City Thunder,Utah Jazz,0.7317055666170845
Charlotte Hornets,Washington Wizards,0.6491138469009721
Portland Trail Blazers,Denver Nuggets,0.7513008690837522
Golden State Warriors,New York Knicks,0.9155073340087578
Chicago Bulls,Milwaukee Bucks,0.6741169524539907
Indiana Pacers,New Orleans Pelicans,0.7558912231253035
San Antonio Spurs,Phoenix Suns,0.9558440501499191
Charlotte Hornets,Boston Celtics,0.5031150758885169
Chicago Bulls,Milwaukee Bucks,0.6534840947823247
Houston Rockets,New Orleans Pelicans,0.6518551744010685
Memphis Grizzlies,Sacramento Kings,0.5800694458361066
Los Angeles Clippers,Miami Heat,0.5837439323916105
Orlando Magic,Brooklyn Nets,0.7131493439947413
Los Angeles Lakers,Philadelphia 76ers,0.7037807338213207
Toronto Raptors,Atlanta Hawks,0.5829025526531049
Dallas Mavericks,Utah Jazz,0.5162865136997878
Detroit Pistons,Washington Wizards,0.5601035824745828
Charlotte Hornets,Atlanta Hawks,0.5346745178038832
Cleveland Cavaliers,Los Angeles Lakers,0.9448393250215325
Denver Nuggets,New York Knicks,0.5184290210996506
Indiana Pacers,Detroit Pistons,0.5330483977387152
Golden State Warriors,Portland Trail Blazers,0.7691471491851134
Houston Rockets,Minnesota Timberwolves,0.6556951430270275
Oklahoma City Thunder,Phoenix Suns,0.9196980409105242
Dallas Mavericks,Sacramento Kings,0.5702174761018722
Utah Jazz,Memphis Grizzlies,0.5420555774853008
Boston Celtics,Miami Heat,0.525062058004137
Toronto Raptors,Orlando Magic,0.7935784282375743
Brooklyn Nets,Philadelphia 76ers,0.7795597441722473
San Antonio Spurs,New Orleans Pelicans,0.9040737599402129
Los Angeles Clippers,Washington Wizards,0.7023455891976569
Detroit Pistons,Chicago Bulls,0.54084836913962
Dallas Mavericks,Denver Nuggets,0.6348266718427598
Indiana Pacers,Washington Wizards,0.5367880310433946
Minnesota Timberwolves,Phoenix Suns,0.6293181541569647
Oklahoma City Thunder,Atlanta Hawks,0.6540557154144239
Charlotte Hornets,Los Angeles Lakers,0.8897327054594595
Golden State Warriors,Utah Jazz,0.8541258635214865
San Antonio Spurs,Houston Rockets,0.8491813004144488
Los Angeles Clippers,Denver Nuggets,0.7676928418161432
Boston Celtics,Memphis Grizzlies,0.6608109882935365
Miami Heat,Orlando Magic,0.6757973906070543
Cleveland Cavaliers,Milwaukee Bucks,0.8530309350208
Indiana Pacers,New York Knicks,0.7371792534272613
New Orleans Pelicans,Philadelphia 76ers,0.877321658693209
Portland Trail Blazers,Sacramento Kings,0.7506637217361537
Toronto Raptors,Brooklyn Nets,0.90560592577365
Atlanta Hawks,Minnesota Timberwolves,0.7622445826505939
Washington Wizards,Chicago Bulls,0.5217574265342215
Cleveland Cavaliers,Milwaukee Bucks,0.8498604501957234
Detroit Pistons,Memphis Grizzlies,0.5679457833467579
Oklahoma City Thunder,New Orleans Pelicans,0.8617640646665786
Houston Rockets,Phoenix Suns,0.7881507157987524
Portland Trail Blazers,Dallas Mavericks,0.5991065834539768
Utah Jazz,Sacramento Kings,0.6077252067907171
Golden State Warriors,Brooklyn Nets,0.9678535935412206
Boston Celtics,Indiana Pacers,0.5764789860056263
San Antonio Spurs,Los Angeles Clippers,0.7395914651058314
Miami Heat,Los Angeles Lakers,0.898817461408948
Orlando Magic,New York Knicks,0.609486288836294
Oklahoma City Thunder,Boston Celtics,0.6151616563152238
Charlotte Hornets,Chicago Bulls,0.5600887482073832
Cleveland Cavaliers,Brooklyn Nets,0.9200501695849347
Atlanta Hawks,Denver Nuggets,0.7464362274384515
Golden State Warriors,Detroit Pistons,0.849918216625462
Los Angeles Clippers,Dallas Mavericks,0.6493187898855438
Houston Rockets,Memphis Grizzlies,0.5196674697627645
Washington Wizards,Milwaukee Bucks,0.6702034513216687
Sacramento Kings,Minnesota Timberwolves,0.5603048863467854
Miami Heat,New Orleans Pelicans,0.7906845372491256
Orlando Magic,Los Angeles Lakers,0.7872561569476977
Phoenix Suns,Philadelphia 76ers,0.6975775033998397
San Antonio Spurs,Portland Trail Blazers,0.7787072304415912
Toronto Raptors,Utah Jazz,0.7156161894173606
Golden State Warriors,Cleveland Cavaliers,0.6892559619499612
Los Angeles Clippers,Los Angeles Lakers,0.9439273227981169
Boston Celtics,New York Knicks,0.7824515368195418
Oklahoma City Thunder,Minnesota Timberwolves,0.8793249349798907
San Antonio Spurs,Chicago Bulls,0.8173925790704338
Charlotte Hornets,Brooklyn Nets,0.8855774573297537
Indiana Pacers,Chicago Bulls,0.5730209897735585
Cleveland Cavaliers,Detroit Pistons,0.7260656830725203
Houston Rockets,Phoenix Suns,0.769647146371336
Los Angeles Clippers,Denver Nuggets,0.7676928418161432
Atlanta Hawks,Minnesota Timberwolves,0.7810924077923462
Dallas Mavericks,New Orleans Pelicans,0.7092811909505302
Memphis Grizzlies,Orlando Magic,0.5796917819349101
Toronto Raptors,Portland Trail Blazers,0.6120425586058641
Sacramento Kings,Philadelphia 76ers,0.8456901382856302
Washington Wizards,Milwaukee Bucks,0.6356574863588191
Boston Celtics,Memphis Grizzlies,0.653969961683147
Houston Rockets,Dallas Mavericks,0.5297225322325119
Utah Jazz,Los Angeles Lakers,0.889660838642419
Oklahoma City Thunder,Miami Heat,0.634464261057339
Atlanta Hawks,New York Knicks,0.7249861599400157
Chicago Bulls,Brooklyn Nets,0.7931324323404711
Denver Nuggets,Minnesota Timberwolves,0.5669562415759412
Detroit Pistons,Milwaukee Bucks,0.6891589730248565
Golden State Warriors,Toronto Raptors,0.7106276155617904
Los Angeles Clippers,New Orleans Pelicans,0.8343484337264653
Charlotte Hornets,Orlando Magic,0.7252200548703669
Portland Trail Blazers,Sacramento Kings,0.7119089093096973
San Antonio Spurs,Phoenix Suns,0.9438768549353053
Indiana Pacers,Washington Wizards,0.591944935254096
Miami Heat,Charlotte Hornets,0.5365829847429031
Cleveland Cavaliers,Boston Celtics,0.6355910236405313
Dallas Mavericks,Los Angeles Lakers,0.8907603705913585
Oklahoma City Thunder,Memphis Grizzlies,0.7536166075397314
Toronto Raptors,Phoenix Suns,0.9065843079818965
Utah Jazz,Philadelphia 76ers,0.8989483742551425
Atlanta Hawks,Detroit Pistons,0.5583930291152472
Boston Celtics,Miami Heat,0.50797465549708
Denver Nuggets,Philadelphia 76ers,0.8452449984348644
Golden State Warriors,Dallas Mavericks,0.8527185619394961
Los Angeles Clippers,Houston Rockets,0.6885117442000129
Indiana Pacers,Chicago Bulls,0.5323693782771803
